comment
小辫儿张云雷粉丝团：张云雷希望大家在追星的同时保持理智， 台上台下要分清，不要给艺人带来困扰
凝雨微甜：有的时候看到一些没买到票的女孩子们站在园子外面守候着，然后酒店机场啊，一路上的都是跟随的。我就发现自己只是去听相声，去看专场。是不是不算一个好的相声粉，不过现在想想我还是比较适合老老实实的买票听相声，买不到票就看看视频。别的还是不要做了。
绿山墙的猪猪：保护我方德云宝贝！
奥利奥和可爱多：支持请给角儿们一个安静的生活环境 多多关注作品！
你的明欣_：关注作品 远离生活.
写九万字：追星混饭圈那一套恶臭别带进相声圈 烦死了
一位不愿透露姓名的某bear：我爱的只有杨九郎，张云雷，孟鹤堂，周九良，张九龄，王九龙，张鹤伦，郭麒麟……至于杨淏翔，张磊，孟祥辉，周航，张仲元……他们是怎么样关我什么事？
德云社小百科：支持维权
我不是小姐姐是肖姐姐：我每次去剧场看演出，都是安安静静的来，安安静静的走掉，既不跟踪也不在路上拦，更不会找到酒店去堵去敲门！我敢说，我对他们的爱一点也不比别人少，但是爱一个人，就不要给他们带来困扰，好好的，远远的欣赏他们不好吗？你那么积极，难道你的角儿就会被你“感动”，然后把你娶了？
德云锥鹿丷：支持 佛系捧角儿 保护我家传统艺术天团
inspire蚍蜉：支持，就是该整治整治私生饭了
humhyacinth：求大家里角儿们的生活远一点，多关注作品好吗。
叶恃：保护我方德云社！冲鸭
周九良粉丝后援会：广而告之
张鹤伦官方后援会：做个和爱豆一样的乖宝宝～张鹤伦
霍子佳啊：我们爱的是台上说相声的角儿， 不要去干扰台下他们的私生活
7gl-顾笙er：支持！！！！
坑王妃：保护我方德云社艺人，从我做起。你追的是相声演员好吗？别和我们搞流量圈那一套行么？请离相声演员私生活远一点，别祸害他们，求你们了
池上雨zls_：多关注作品，少打扰生活
妾身妲己：我喜欢我社，喜欢社里的老师们～我很明白，我喜欢的是孟鹤堂，是周九良，是郭麒麟，是阎鹤祥，是张九龄……喜欢的是舞台上的他们。当他们鞠躬下台，他们就变回了孟祥辉，周航，郭奇林，阎鑫……台下的他们和台上的他们不一样……我们就分清楚就好啦～让他们台上的他们好好表演，台下好好生活！
希望每个人都能好开心鸭：支持！！?
热评狂彪三圣女茶缸子：保护我们角儿！
萌哒哒的逗比羞嗒嗒的开：贵社终于知道男孩子在外面要注意安全了，尤其是四百多个兼顾颜值与内涵的男孩子。 评论配图
写账先生盘铜草帽：换轮胎的蹲机场的麻烦省省吧
Xback_貓爺：支持，远离生活。珍爱舞台
-甜栗奶盖儿：爱他们，首先请尊重他们！
corrupt叶曦：关注台上的他们，台下的生活少操心，不要把粉圈那一套带到相声里来
一凡-CMH：支持 专注作品 远离生活
热评狂彪三圣女二彪子：保护我方德云天团 离角们的生活远一点 只关注作品和台上好吗 别搞饭圈流量圈那一套好吗别祸害他们了 爱他们请远离他们的私生活 求你们了??
紫若丨小姐姐：就应该这样！黑猫警长一会儿就上你家逮你去。
堂主的刹车哭：支持！保护各位角儿
堂主的刹车哭：支持！保护各位角儿
思兮罔罔：私生饭又特么窜出来了哪儿哪儿少不了他们。
阿棋超级甜：支持我社演员合法维权
繁星如孟：支持作品，远离舞台 为了我们喜爱老师，请大家自觉抵制 顺便想给抠鞋和换轮胎的说一声 你们可以继续下去，不过有一双手链可就为你们准备了
手帕要立志做锦鲤：追星千万样，理智第一样。追星不规范，亲人两行泪！！！希望大家理智追星，私生饭要不得为什么不能好好听相声呢
Tong--T彤：文明捧角儿，我社威武
薇小甜：泄露个人隐私一定要追究其法律责任，最隐私的都泄露了，不是只删了微博就算了了这事儿了
丢了耳朵的叮当猫：因为二爷粉上的德云社的相声，二爷现在粉丝多，但把他当明星追了，忘了他是个相声演员，很多场粉丝都是各种刨活打岔，对于大量的女粉丝九辫也不好明说，多次下来最后相声不像相声，很散，而且，粉丝显然没把自己当成观众，说相声时各种叫吼，这样真的不是捧角儿，他应该拥有好的观众来说相声，用来进步
喜欢喊救命的1058顷城：不打扰是我给你的温柔。
羊角星系：相声不是追星，捧角儿得有度，搭档才是最懂角儿的，别伤害我们双哏。
这是德云女孩呀：我们应该关注的是台上的各位角儿而不是太下的他们个人 请粉丝们支持作品远离个人
董九力看看我吧：保护我方各位大宝贝们，追星和追角不一样，请不要把那一套放在德云社，台上他们是张云雷，杨九郎，周九良，秦霄贤，可以尽情追角，但是下了台以后他们是张磊，杨淏翔，周航，秦凯旋请不要打扰，谢谢
晓鸥oo：真的别把饭圈那一套搬过来，好好关注传统艺术就可以啦
Michelle雪-：德云社 买票进场是捧角儿，家中追视频是喜爱。其他歪门邪道都是浪风抽的浪风抽的浪风抽的想明白了自己身份，台上台下都分不清的，还是先看看病去吧
1重温经典9：我一直是相声粉，德云社粉，一直也是随缘买票，积极在正规网站买票，买不到了就在网上看呗，听相声本就是一个令人开心的事，喜欢相声也是因为他跟别的艺术不一样，还是希望粉丝们理智，平时给演员们空间，不要给他们造成太多困扰，这样才能使他们更好的进步和创作，将更大的快乐带给大家
乌拉拉拉氏冰冰：我也说两句，勿喷！喜欢是喜欢，爱是爱，但是明星艺人也是人，也需要私人空间，凡事都要有个适合的度！这样才不会给我们喜爱的偶像造成困扰，才能让他们有更多的空间和时间去创作出更多好的作品！
德云社小百科：希望官博能管一管，小先生真的很努力，不希望看见他被私生饭困扰。 评论配图
巫婆的兰筷子：德云社还应该出一个声明：不要乱认亲戚 不要到处抄便宜 不要到处在不相关的地方ky！
吃火锅的锥锥是六妹妹：做大德云的热心观众！多进小剧场和小园子关注作品???
阿欢呀-：吓死个我了我以为德云社不干了
玲珑公子戏九郎添添：请做个善良的粉丝，不要让你的爱豆为难?
陌野簪花：德云姑娘们，冲呀！保护我方德云男孩！ 男孩子在外面一定要注意保护自己呀！！ 另，有钱您去买票不好么，不管是小园子还是商演，角儿们都会对你笑一笑，说一句谢谢衣食父母！有时间您去看视频不好么，那么多呢，功课补完了么？怎么就那么闲呢！您怕是没挨过说相声的打，没扛过听相声的揍！ 评论配图
概爱超酷der：关注作品，远离生活
君去春江正淼茫0220：别把德云社整的跟饭圈似的支持维权
热评狂彪三圣女反调子：完全支持！！！保护我们的德云男孩
云鹤九霄哎：我们喜欢的是台上的角儿们啊，不要去打扰他们的私人生活。
Persona_里：给各位角儿应有的权利
AKA东北薯片王：我说一句实话，查查你们内部的人吧，这玩意内部要是严格保密，外边咋都不可能知道。再者，各家的粉丝或者是观众应该分的清台上台下。第三，开开会，让演员自己也有个警惕意识，别太相信某些不安好心的人。
吃货大王坑三三儿：朋友圈有个卖航班信息的，上次看到有少爷的，真的好奇为什么要赚这种不义之财，另外希望各位德云女孩不要再买这些信息啦，没有市场就没有这样的侵权行为了。
歡脫的小九辮：我们爱的是台上的相声演员，粉圈那些不好的东西，不要带到相声圈来，脱了大褂下了台，他们是普通人，不是明星，再次希望大家可以遵守相声圈的规矩，不要逾越，关注作品，不要去关注他们的私生活，他们不是明星!不是明星!希望大家可以理智，远离不该做的，不该说的，抢不到票就继续抢，希望不要越界?
孟氏小阿七_：希望理智些吧，他们是在舞台上发光发热的角儿
考完研再说00：支持支持，德云社你要记住你也是一个成熟的公司了，你要强大起来保护你的艺人哦
白芍药儿：保护我方堂良
郭小灰吖：离张云雷近一点，离张磊远一点 离杨九郎近一点，离杨淏翔远一点 离郭麒麟近一点，离郭奇林远一点 离阎鹤祥近一点，离阎鑫远一点 离秦霄贤近一点，离秦凯旋远一点 离孟鹤堂近一点，离孟祥辉远一点 离周九良近一点，离周航远一点 …… 离相声近一点，离他们远一点
不要跟你爸爸对着干：保护德云社！ 弘扬乌克兰小分队精神
天齐小战士L：我是北京德云妇女，每次各个小园子和北展都是早早进场，散场就回家，看着他们签字心红也不往跟前儿凑，这一大帮妇女要都去是要累死他们吗？愿哥哥们都平安顺利！我社越来越好！
Tanya_田田：支持，维护艺人合法权益
·墙头蹦迪少女：相声有其独特的艺术魅力，好的观众和良善恰当的互动对于相声演员及其表演来说是锦上添花的，作为观众更多应该去喜欢演员台上的表演而不是过多关注现实中的私人生活，分清台上台下，希望不要万物饭圈化我只想快快乐乐听个相声 查看图片
222999外星人：默默抢票，抢不到票安静的在优酷充会员，偶尔哔哩哔哩。有钱就去买买同款衣服香水鞋子啥的过过瘾。这样就很好了。
福禄寿禧财V：从大局出发，德云社的声明保护了自己的演员。各家粉丝不要各自为阵，支持了德云社就是支持你们的角儿。不要再出现不约和抱走的字样了！知道你们心疼自己喜欢的角儿，智商不在线也情有可原，或许有别有用心的人在带节奏，不要跟着跑好吗？德云社好了你们的角儿也会好的。这个时候，这里只有德云社……
一只彤大大：最可怕的是，相声还有毒唯，我真的，您找个单口听多好
翊神哥哥：买票是买的台上的云鹤九霄的演出… 台下请让他们好好做自己
九辫儿河北后援会：九辫儿河北后援会远离艺人私人生活
一日入坑误终身：支持
安橘子12138：支持维权！专注台上专注作品??ss不是饭
高高三岁爱吃糖：支持！保护姆们角儿！
吾念君愿君安：望周知！
十五爷：给他们一点空间就是最好的爱
WANG怪獸吖：爱他们就要尊重他们，你喜欢的是他们的才艺，不是私人
不吃冰淇淋的小遥：真好 拒绝私生！！！???
听雪的幸福：理智捧角儿，保护我社演员！
_良人如初：我们喜欢他们，闲暇时间就买票去小园子里或者商演听他们说相声，有缘路上碰到了就和朋友一样打个招呼就好
-Listerine：给所有支持保护演员私人生活的评论都点赞了，真累～
牛牛15171036：支持！ 评论配图
林落氤：支持维权，台上是衣食父母，台下也希望大家可以做一个安静的好观众，还有那位说艺人没有礼貌的，实名diss你，其实你更没教养
__邓布利不多不少__：故事外散 故事里聚
